charlie-formula-conformance/v1
# captured_unix=1784189268 git_commit=99a27637e8c476c0c79e5b5370e5df14d136a43c git_dirty=true tool=conformance 0.1.0
# coverage modeled=9 target=70 registry=9 functions=ABS,AND,AVERAGE,COUNT,IF,IFERROR,OR,ROUND,SUM
# columns: VERDICT<TAB>key[<TAB>detail]
MATCH	aggregation/average-mixed-range
MATCH	aggregation/average-no-numbers-is-div0
MATCH	aggregation/count-direct-bool-and-numeric-text
MATCH	aggregation/count-ignores-range-errors
MATCH	aggregation/count-in-range-counts-only-numbers
MATCH	aggregation/sum-direct-args-coerce
MATCH	aggregation/sum-direct-nonnumeric-text-is-value-error
MATCH	aggregation/sum-mixed-range-ignores-nonnumbers
MATCH	aggregation/sum-range-basic
MATCH	aggregation/sum-range-error-propagates
MATCH	errors/complex-root-is-num-error
MATCH	errors/divide-by-zero
MATCH	errors/error-literal-passes-through-concat
MATCH	errors/leftmost-error-wins
MATCH	errors/nonnumeric-text-in-arithmetic-is-value-error
MATCH	errors/numeric-text-coerces-in-arithmetic
MATCH	errors/power-overflow-is-num-error
MATCH	errors/zero-to-negative-power-is-div0
MATCH	logic/and-all-truthy
MATCH	logic/and-direct-nonlogical-text-is-value-error
MATCH	logic/and-error-propagates
MATCH	logic/and-one-zero-is-false
MATCH	logic/if-condition-zero-is-false
MATCH	logic/if-is-lazy-unreached-error-not-raised
MATCH	logic/if-picks-else-branch
MATCH	logic/if-picks-then-branch
MATCH	logic/if-two-arg-false-is-false
MATCH	logic/iferror-catches-the-error
MATCH	logic/iferror-passes-a-nonerror-through
MATCH	logic/or-any-truthy
MATCH	math/abs-from-a-cell
MATCH	math/abs-of-negative
MATCH	math/abs-of-positive
MATCH	math/round-down-third-decimal
MATCH	math/round-half-away-from-zero-negative
MATCH	math/round-half-away-from-zero-positive
MATCH	math/round-negative-digits-left-of-point
MATCH	operators/add
MATCH	operators/blank-cell-equals-zero
MATCH	operators/cell-arithmetic
MATCH	operators/concat-bool-and-text
MATCH	operators/concat-number-and-text
MATCH	operators/concat-two-numbers-is-text
MATCH	operators/divide-noninteger
MATCH	operators/equality-text-is-case-insensitive
MATCH	operators/greater-or-equal-boundary
MATCH	operators/less-than-cross-type-number-below-text
MATCH	operators/multiply-decimal
MATCH	operators/not-equal
MATCH	operators/percent-unary
MATCH	operators/power-left-associative
MATCH	operators/precedence-mul-before-add
MATCH	operators/subtract-to-negative
MATCH	operators/unary-minus-binds-tight
